reporting_date,country,country_code,product_category,growth_scale,new_users,users_base,pct_of_users_purchase,orders,revenue_eur,return_rate
2022-01-01,Netherlands,NL,"Home health care equipment",0.15,1,1,0.24,0,0.0,0.04
2022-01-02,"United Kingdom of Great Britain and Northern Ireland",GB,"Hair Loss",0.15,1,2,0.19,0,0.0,0.05
2022-01-02,Belgium,BE,"Hair Loss",0.15,0,0,0.17,0,0.0,0.11
2022-01-02,Germany,DE,"Hair Loss",0.15,1,2,0.2,0,0.0,0.04
2022-01-02,Netherlands,NL,"Hair Loss",0.15,0,1,0.24,0,0.0,0.03
2022-01-02,"United Kingdom of Great Britain and Northern Ireland",GB,"Skin Care",0.15,1,2,0.21,0,0.0,0.05
2022-01-02,Belgium,BE,"Skin Care",0.15,0,0,0.23,0,0.0,0.12
2022-01-02,Germany,DE,"Skin Care",0.15,1,2,0.2,0,0.0,0.03
2022-01-02,Netherlands,NL,"Skin Care",0.15,1,2,0.16,0,0.0,0.04
2022-01-02,"United Kingdom of Great Britain and Northern Ireland",GB,"Weight Loss",0.15,4,6,0.18,1,272.5,0.03
2022-01-02,Belgium,BE,"Weight Loss",0.15,1,2,0.19,0,0.0,0.14
2022-01-02,Germany,DE,"Weight Loss",0.15,4,9,0.17,2,475.0,0.04
2022-01-02,Netherlands,NL,"Weight Loss",0.15,2,4,0.21,1,230.0,0.03
2022-01-02,"United Kingdom of Great Britain and Northern Ireland",GB,"Vitamins and supplements",0.15,1,2,0.22,0,0.0,0.03
2022-01-02,Belgium,BE,"Vitamins and supplements",0.15,0,0,0.24,0,0.0,0.14
2022-01-02,Germany,DE,"Vitamins and supplements",0.15,1,3,0.22,1,13.8,0.03
2022-01-02,Netherlands,NL,"Vitamins and supplements",0.15,1,2,0.15,0,0.0,0.03
2022-01-02,"United Kingdom of Great Britain and Northern Ireland",GB,"First aid supplies",0.15,3,5,0.21,1,7.425,0.05
2022-01-02,Belgium,BE,"First aid supplies",0.15,1,1,0.25,0,0.0,0.14
2022-01-02,Germany,DE,"First aid supplies",0.15,2,4,0.25,1,7.2,0.05
2022-01-02,Netherlands,NL,"First aid supplies",0.15,1,2,0.16,0,0.0,0.02
2022-01-02,"United Kingdom of Great Britain and Northern Ireland",GB,"Home health care equipment",0.15,2,3,0.21,1,52.8,0.03
2022-01-02,Belgium,BE,"Home health care equipment",0.15,1,2,0.24,0,0.0,0.15
2022-01-02,Germany,DE,"Home health care equipment",0.15,1,2,0.16,0,0.0,0.04
2022-01-02,Netherlands,NL,"Home health care equipment",0.15,1,2,0.18,0,0.0,0.03
2022-01-03,"United Kingdom of Great Britain and Northern Ireland",GB,"Hair Loss",0.15,1,3,0.2,1,120.0,0.04
2022-01-03,Belgium,BE,"Hair Loss",0.15,0,0,0.25,0,0.0,0.14
2022-01-03,Germany,DE,"Hair Loss",0.15,1,3,0.18,1,127.5,0.05
2022-01-03,Netherlands,NL,"Hair Loss",0.15,1,2,0.22,0,0.0,0.04
2022-01-03,"United Kingdom of Great Britain and Northern Ireland",GB,"Skin Care",0.15,1,3,0.18,1,77.25,0.04
2022-01-03,Belgium,BE,"Skin Care",0.15,0,0,0.21,0,0.0,0.1
2022-01-03,Germany,DE,"Skin Care",0.15,1,3,0.17,1,67.5,0.04
2022-01-03,Netherlands,NL,"Skin Care",0.15,1,3,0.2,1,69.75,0.04
2022-01-03,"United Kingdom of Great Britain and Northern Ireland",GB,"Weight Loss",0.15,5,11,0.2,2,550.0,0.03
2022-01-03,Belgium,BE,"Weight Loss",0.15,0,2,0.22,0,0.0,0.12
2022-01-03,Germany,DE,"Weight Loss",0.15,4,13,0.24,3,705.0,0.04
2022-01-03,Netherlands,NL,"Weight Loss",0.15,2,6,0.25,2,470.0,0.02
2022-01-03,"United Kingdom of Great Britain and Northern Ireland",GB,"Vitamins and supplements",0.15,1,3,0.16,0,0.0,0.05
2022-01-03,Belgium,BE,"Vitamins and supplements",0.15,0,0,0.25,0,0.0,0.11
2022-01-03,Germany,DE,"Vitamins and supplements",0.15,2,5,0.19,1,14.25,0.04
2022-01-03,Netherlands,NL,"Vitamins and supplements",0.15,1,3,0.2,1,15.6,0.04
2022-01-03,"United Kingdom of Great Britain and Northern Ireland",GB,"First aid supplies",0.15,2,7,0.19,1,8.025,0.03
2022-01-03,Belgium,BE,"First aid supplies",0.15,1,2,0.19,0,0.0,0.13
2022-01-03,Germany,DE,"First aid supplies",0.15,2,6,0.25,2,13.5,0.03
2022-01-03,Netherlands,NL,"First aid supplies",0.15,1,3,0.2,1,7.8,0.03
2022-01-03,"United Kingdom of Great Britain and Northern Ireland",GB,"Home health care equipment",0.15,1,4,0.25,1,55.0,0.05
2022-01-03,Belgium,BE,"Home health care equipment",0.15,1,3,0.25,1,50.05,0.12
2022-01-03,Germany,DE,"Home health care equipment",0.15,1,3,0.24,1,53.9,0.04
2022-01-03,Netherlands,NL,"Home health care equipment",0.15,1,3,0.2,1,56.65,0.03
2022-01-04,"United Kingdom of Great Britain and Northern Ireland",GB,"Hair Loss",0.15,1,4,0.17,1,121.25,0.03
2022-01-04,Belgium,BE,"Hair Loss",0.15,0,0,0.17,0,0.0,0.15
2022-01-04,Germany,DE,"Hair Loss",0.15,1,4,0.19,1,128.75,0.05
2022-01-04,Netherlands,NL,"Hair Loss",0.15,0,2,0.16,0,0.0,0.02
2022-01-04,"United Kingdom of Great Britain and Northern Ireland",GB,"Skin Care",0.15,1,4,0.15,1,71.25,0.05
2022-01-04,Belgium,BE,"Skin Care",0.15,0,0,0.23,0,0.0,0.1
2022-01-04,Germany,DE,"Skin Care",0.15,1,4,0.19,1,77.25,0.04
2022-01-04,Netherlands,NL,"Skin Care",0.15,1,4,0.23,1,76.5,0.03
2022-01-04,"United Kingdom of Great Britain and Northern Ireland",GB,"Weight Loss",0.15,4,15,0.24,4,1070.0,0.05
2022-01-04,Belgium,BE,"Weight Loss",0.15,1,3,0.23,1,245.0,0.11
2022-01-04,Germany,DE,"Weight Loss",0.15,4,17,0.23,4,1080.0,0.04
2022-01-04,Netherlands,NL,"Weight Loss",0.15,2,8,0.25,2,510.0,0.02
2022-01-04,"United Kingdom of Great Britain and Northern Ireland",GB,"Vitamins and supplements",0.15,1,4,0.17,1,13.95,0.03
2022-01-04,Belgium,BE,"Vitamins and supplements",0.15,1,1,0.19,0,0.0,0.12
2022-01-04,Germany,DE,"Vitamins and supplements",0.15,1,6,0.24,1,13.65,0.04
2022-01-04,Netherlands,NL,"Vitamins and supplements",0.15,1,4,0.21,1,15.6,0.04
2022-01-04,"United Kingdom of Great Britain and Northern Ireland",GB,"First aid supplies",0.15,3,10,0.22,2,14.7,0.04
2022-01-04,Belgium,BE,"First aid supplies",0.15,1,3,0.24,1,6.825,0.11
2022-01-04,Germany,DE,"First aid supplies",0.15,2,8,0.25,2,14.25,0.03
2022-01-04,Netherlands,NL,"First aid supplies",0.15,1,4,0.18,1,7.125,0.03
2022-01-04,"United Kingdom of Great Britain and Northern Ireland",GB,"Home health care equipment",0.15,2,6,0.25,2,113.3,0.03
2022-01-04,Belgium,BE,"Home health care equipment",0.15,0,3,0.17,1,59.95,0.1
2022-01-04,Germany,DE,"Home health care equipment",0.15,1,4,0.21,1,51.7,0.05
2022-01-04,Netherlands,NL,"Home health care equipment",0.15,1,4,0.22,1,58.3,0.04
2022-01-05,"United Kingdom of Great Britain and Northern Ireland",GB,"Hair Loss",0.15,1,5,0.23,1,121.25,0.04
2022-01-05,Belgium,BE,"Hair Loss",0.15,0,0,0.15,0,0.0,0.13
2022-01-05,Germany,DE,"Hair Loss",0.15,1,5,0.22,1,132.5,0.04
2022-01-05,Netherlands,NL,"Hair Loss",0.15,1,3,0.23,1,137.5,0.04
2022-01-05,"United Kingdom of Great Britain and Northern Ireland",GB,"Skin Care",0.15,1,5,0.19,1,69.75,0.04
2022-01-05,Belgium,BE,"Skin Care",0.15,0,0,0.17,0,0.0,0.14
2022-01-05,Germany,DE,"Skin Care",0.15,1,5,0.25,1,72.0,0.05
2022-01-05,Netherlands,NL,"Skin Care",0.15,1,5,0.2,1,81.75,0.03
2022-01-05,"United Kingdom of Great Britain and Northern Ireland",GB,"Weight Loss",0.15,4,19,0.24,5,1175.0,0.03
2022-01-05,Belgium,BE,"Weight Loss",0.15,1,4,0.15,1,235.0,0.12
2022-01-05,Germany,DE,"Weight Loss",0.15,3,20,0.16,3,787.5,0.04
2022-01-05,Netherlands,NL,"Weight Loss",0.15,2,10,0.18,2,525.0,0.02
2022-01-05,"United Kingdom of Great Britain and Northern Ireland",GB,"Vitamins and supplements",0.15,1,5,0.21,1,16.35,0.04
2022-01-05,Belgium,BE,"Vitamins and supplements",0.15,0,1,0.23,0,0.0,0.14
2022-01-05,Germany,DE,"Vitamins and supplements",0.15,2,8,0.18,1,14.4,0.04
2022-01-05,Netherlands,NL,"Vitamins and supplements",0.15,1,5,0.25,1,14.4,0.02
2022-01-05,"United Kingdom of Great Britain and Northern Ireland",GB,"First aid supplies",0.15,3,13,0.24,3,20.7,0.05
2022-01-05,Belgium,BE,"First aid supplies",0.15,1,4,0.17,1,7.5,0.14
2022-01-05,Germany,DE,"First aid supplies",0.15,2,10,0.15,2,14.85,0.05
2022-01-05,Netherlands,NL,"First aid supplies",0.15,1,5,0.22,1,7.65,0.03
2022-01-05,"United Kingdom of Great Britain and Northern Ireland",GB,"Home health care equipment",0.15,1,7,0.21,1,58.3,0.03
2022-01-05,Belgium,BE,"Home health care equipment",0.15,0,3,0.22,1,57.75,0.12
2022-01-05,Germany,DE,"Home health care equipment",0.15,1,5,0.24,1,51.15,0.03
2022-01-05,Netherlands,NL,"Home health care equipment",0.15,1,5,0.18,1,53.35,0.03
2022-01-06,"United Kingdom of Great Britain and Northern Ireland",GB,"Hair Loss",0.15,1,6,0.22,1,135.0,0.04
2022-01-06,Belgium,BE,"Hair Loss",0.15,0,0,0.25,0,0.0,0.15
2022-01-06,Germany,DE,"Hair Loss",0.15,1,6,0.19,1,130.0,0.05
2022-01-06,Netherlands,NL,"Hair Loss",0.15,1,4,0.15,1,116.25,0.04
2022-01-06,"United Kingdom of Great Britain and Northern Ireland",GB,"Skin Care",0.15,1,6,0.22,1,74.25,0.05
2022-01-06,Belgium,BE,"Skin Care",0.15,0,0,0.22,0,0.0,0.12
2022-01-06,Germany,DE,"Skin Care",0.15,1,6,0.2,1,71.25,0.03
2022-01-06,Netherlands,NL,"Skin Care",0.15,1,6,0.23,1,78.75,0.02
2022-01-06,"United Kingdom of Great Britain and Northern Ireland",GB,"Weight Loss",0.15,3,22,0.18,4,1050.0,0.05
2022-01-06,Belgium,BE,"Weight Loss",0.15,1,5,0.15,1,272.5,0.14
2022-01-06,Germany,DE,"Weight Loss",0.15,5,25,0.22,6,1380.0,0.05
2022-01-06,Netherlands,NL,"Weight Loss",0.15,2,12,0.15,2,460.0,0.02
2022-01-06,"United Kingdom of Great Britain and Northern Ireland",GB,"Vitamins and supplements",0.15,2,7,0.25,2,29.7,0.03
2022-01-06,Belgium,BE,"Vitamins and supplements",0.15,0,1,0.18,0,0.0,0.13
2022-01-06,Germany,DE,"Vitamins and supplements",0.15,2,10,0.16,2,31.2,0.05
2022-01-06,Netherlands,NL,"Vitamins and supplements",0.15,1,6,0.15,1,14.4,0.03
2022-01-06,"United Kingdom of Great Britain and Northern Ireland",GB,"First aid supplies",0.15,2,15,0.23,3,22.725,0.03
2022-01-06,Belgium,BE,"First aid supplies",0.15,1,5,0.24,1,6.9,0.1
2022-01-06,Germany,DE,"First aid supplies",0.15,3,13,0.23,3,24.075,0.05
2022-01-06,Netherlands,NL,"First aid supplies",0.15,1,6,0.17,1,7.875,0.03
2022-01-06,"United Kingdom of Great Britain and Northern Ireland",GB,"Home health care equipment",0.15,1,8,0.19,2,99.0,0.03
2022-01-06,Belgium,BE,"Home health care equipment",0.15,0,3,0.22,1,57.75,0.15
2022-01-06,Germany,DE,"Home health care equipment",0.15,2,7,0.23,2,102.3,0.03
2022-01-06,Netherlands,NL,"Home health care equipment",0.15,1,6,0.22,1,57.2,0.04
2022-01-07,"United Kingdom of Great Britain and Northern Ireland",GB,"Hair Loss",0.15,1,7,0.2,1,132.5,0.05
2022-01-07,Belgium,BE,"Hair Loss",0.15,0,0,0.2,0,0.0,0.11
2022-01-07,Germany,DE,"Hair Loss",0.15,1,7,0.19,1,117.5,0.04
2022-01-07,Netherlands,NL,"Hair Loss",0.15,1,5,0.24,1,122.5,0.02
2022-01-07,"United Kingdom of Great Britain and Northern Ireland",GB,"Skin Care",0.15,1,7,0.22,2,151.5,0.04
2022-01-07,Belgium,BE,"Skin Care",0.15,0,0,0.17,0,0.0,0.11
2022-01-07,Germany,DE,"Skin Care",0.15,1,7,0.16,1,78.75,0.04
2022-01-07,Netherlands,NL,"Skin Care",0.15,1,7,0.15,1,70.5,0.03
2022-01-07,"United Kingdom of Great Britain and Northern Ireland",GB,"Weight Loss",0.15,4,26,0.17,4,1000.0,0.03
2022-01-07,Belgium,BE,"Weight Loss",0.15,1,6,0.2,1,247.5,0.12
2022-01-07,Germany,DE,"Weight Loss",0.15,5,30,0.24,7,1680.0,0.03
2022-01-07,Netherlands,NL,"Weight Loss",0.15,2,14,0.18,3,720.0,0.02
2022-01-07,"United Kingdom of Great Britain and Northern Ireland",GB,"Vitamins and supplements",0.15,1,8,0.22,2,30.3,0.05
2022-01-07,Belgium,BE,"Vitamins and supplements",0.15,0,1,0.2,0,0.0,0.15
2022-01-07,Germany,DE,"Vitamins and supplements",0.15,2,12,0.18,2,27.3,0.05
2022-01-07,Netherlands,NL,"Vitamins and supplements",0.15,1,7,0.15,1,14.55,0.02
2022-01-07,"United Kingdom of Great Britain and Northern Ireland",GB,"First aid supplies",0.15,2,17,0.18,3,22.5,0.03
2022-01-07,Belgium,BE,"First aid supplies",0.15,1,6,0.24,1,7.575,0.14
2022-01-07,Germany,DE,"First aid supplies",0.15,3,16,0.19,3,24.3,0.04
2022-01-07,Netherlands,NL,"First aid supplies",0.15,1,7,0.23,2,15.3,0.03
2022-01-07,"United Kingdom of Great Britain and Northern Ireland",GB,"Home health care equipment",0.15,1,9,0.18,2,112.2,0.03
2022-01-07,Belgium,BE,"Home health care equipment",0.15,0,3,0.17,1,59.4,0.14
2022-01-07,Germany,DE,"Home health care equipment",0.15,1,8,0.16,1,51.7,0.04
2022-01-07,Netherlands,NL,"Home health care equipment",0.15,1,7,0.25,2,105.6,0.03
2022-01-08,"United Kingdom of Great Britain and Northern Ireland",GB,"Hair Loss",0.15,1,8,0.25,2,245.0,0.04
2022-01-08,Belgium,BE,"Hair Loss",0.15,0,0,0.29,0,0.0,0.15
2022-01-08,Germany,DE,"Hair Loss",0.15,1,8,0.28,2,270.0,0.03
2022-01-08,Netherlands,NL,"Hair Loss",0.15,1,6,0.27,2,242.5,0.02
2022-01-08,"United Kingdom of Great Britain and Northern Ireland",GB,"Skin Care",0.15,1,8,0.29,2,148.5,0.04
2022-01-08,Belgium,BE,"Skin Care",0.15,0,0,0.22,0,0.0,0.1
2022-01-08,Germany,DE,"Skin Care",0.15,1,8,0.21,2,135.0,0.03
2022-01-08,Netherlands,NL,"Skin Care",0.15,1,8,0.25,2,157.5,0.04
2022-01-08,"United Kingdom of Great Britain and Northern Ireland",GB,"Weight Loss",0.15,3,29,0.28,8,2160.0,0.04
2022-01-08,Belgium,BE,"Weight Loss",0.15,1,7,0.22,2,520.0,0.11
2022-01-08,Germany,DE,"Weight Loss",0.15,3,33,0.23,8,1820.0,0.04
2022-01-08,Netherlands,NL,"Weight Loss",0.15,2,16,0.24,4,930.0,0.03
2022-01-08,"United Kingdom of Great Britain and Northern Ireland",GB,"Vitamins and supplements",0.15,2,10,0.24,2,32.4,0.03
2022-01-08,Belgium,BE,"Vitamins and supplements",0.15,0,1,0.27,0,0.0,0.15
2022-01-08,Germany,DE,"Vitamins and supplements",0.15,2,14,0.27,4,61.8,0.04
2022-01-08,Netherlands,NL,"Vitamins and supplements",0.15,1,8,0.24,2,29.7,0.04
2022-01-08,"United Kingdom of Great Britain and Northern Ireland",GB,"First aid supplies",0.15,2,19,0.25,5,33.75,0.04
2022-01-08,Belgium,BE,"First aid supplies",0.15,1,7,0.25,2,16.5,0.11
2022-01-08,Germany,DE,"First aid supplies",0.15,2,18,0.22,4,27.0,0.05
2022-01-08,Netherlands,NL,"First aid supplies",0.15,2,9,0.29,3,24.525,0.04
2022-01-08,"United Kingdom of Great Britain and Northern Ireland",GB,"Home health care equipment",0.15,2,11,0.24,3,169.95,0.05
2022-01-08,Belgium,BE,"Home health care equipment",0.15,0,3,0.28,1,58.3,0.11
2022-01-08,Germany,DE,"Home health care equipment",0.15,1,9,0.22,2,103.4,0.03
2022-01-08,Netherlands,NL,"Home health care equipment",0.15,1,8,0.26,2,102.3,0.02
2022-01-09,"United Kingdom of Great Britain and Northern Ireland",GB,"Hair Loss",0.15,1,9,0.25,2,240.0,0.03
2022-01-09,Belgium,BE,"Hair Loss",0.15,0,0,0.22,0,0.0,0.12
2022-01-09,Germany,DE,"Hair Loss",0.15,1,9,0.24,2,245.0,0.05
2022-01-09,Netherlands,NL,"Hair Loss",0.15,1,7,0.17,1,137.5,0.04
2022-01-09,"United Kingdom of Great Britain and Northern Ireland",GB,"Skin Care",0.15,1,9,0.25,2,160.5,0.04
2022-01-09,Belgium,BE,"Skin Care",0.15,0,0,0.2,0,0.0,0.14
2022-01-09,Germany,DE,"Skin Care",0.15,1,9,0.2,2,159.0,0.05
2022-01-09,Netherlands,NL,"Skin Care",0.15,0,8,0.16,1,73.5,0.04
2022-01-09,"United Kingdom of Great Britain and Northern Ireland",GB,"Weight Loss",0.15,3,32,0.18,6,1650.0,0.05
2022-01-09,Belgium,BE,"Weight Loss",0.15,1,8,0.23,2,535.0,0.13
2022-01-09,Germany,DE,"Weight Loss",0.15,4,37,0.22,8,2020.0,0.04
2022-01-09,Netherlands,NL,"Weight Loss",0.15,2,18,0.18,3,802.5,0.04
2022-01-09,"United Kingdom of Great Britain and Northern Ireland",GB,"Vitamins and supplements",0.15,1,11,0.24,3,48.15,0.05
2022-01-09,Belgium,BE,"Vitamins and supplements",0.15,0,1,0.18,0,0.0,0.14
2022-01-09,Germany,DE,"Vitamins and supplements",0.15,2,16,0.25,4,62.4,0.05
2022-01-09,Netherlands,NL,"Vitamins and supplements",0.15,1,9,0.19,2,28.2,0.02
2022-01-09,"United Kingdom of Great Britain and Northern Ireland",GB,"First aid supplies",0.15,2,21,0.17,4,33.0,0.04
2022-01-09,Belgium,BE,"First aid supplies",0.15,0,7,0.15,1,6.75,0.11
2022-01-09,Germany,DE,"First aid supplies",0.15,3,21,0.16,3,22.05,0.05
2022-01-09,Netherlands,NL,"First aid supplies",0.15,1,10,0.24,2,14.85,0.03
2022-01-09,"United Kingdom of Great Britain and Northern Ireland",GB,"Home health care equipment",0.15,2,13,0.17,2,118.8,0.05
2022-01-09,Belgium,BE,"Home health care equipment",0.15,0,3,0.2,1,59.95,0.1
2022-01-09,Germany,DE,"Home health care equipment",0.15,1,10,0.24,2,107.8,0.05
2022-01-09,Netherlands,NL,"Home health care equipment",0.15,1,9,0.2,2,114.4,0.04
2022-01-10,"United Kingdom of Great Britain and Northern Ireland",GB,"Hair Loss",0.15,1,10,0.18,2,272.5,0.05
2022-01-10,Belgium,BE,"Hair Loss",0.15,0,0,0.24,0,0.0,0.13
2022-01-10,Germany,DE,"Hair Loss",0.15,1,10,0.25,3,363.75,0.04
2022-01-10,Netherlands,NL,"Hair Loss",0.15,0,7,0.17,1,112.5,0.03
2022-01-10,"United Kingdom of Great Britain and Northern Ireland",GB,"Skin Care",0.15,1,10,0.18,2,139.5,0.03
2022-01-10,Belgium,BE,"Skin Care",0.15,0,0,0.23,0,0.0,0.12
2022-01-10,Germany,DE,"Skin Care",0.15,1,10,0.19,2,136.5,0.03
2022-01-10,Netherlands,NL,"Skin Care",0.15,1,9,0.2,2,156.0,0.04
2022-01-10,"United Kingdom of Great Britain and Northern Ireland",GB,"Weight Loss",0.15,3,35,0.19,7,1715.0,0.03
2022-01-10,Belgium,BE,"Weight Loss",0.15,1,9,0.25,2,470.0,0.13
2022-01-10,Germany,DE,"Weight Loss",0.15,3,40,0.2,8,2200.0,0.04
2022-01-10,Netherlands,NL,"Weight Loss",0.15,2,20,0.17,3,705.0,0.02
2022-01-10,"United Kingdom of Great Britain and Northern Ireland",GB,"Vitamins and supplements",0.15,2,13,0.16,2,29.7,0.04
2022-01-10,Belgium,BE,"Vitamins and supplements",0.15,0,1,0.19,0,0.0,0.14
2022-01-10,Germany,DE,"Vitamins and supplements",0.15,2,18,0.19,3,41.4,0.05
2022-01-10,Netherlands,NL,"Vitamins and supplements",0.15,1,10,0.23,2,33.0,0.04
2022-01-10,"United Kingdom of Great Britain and Northern Ireland",GB,"First aid supplies",0.15,3,24,0.18,4,27.9,0.05
2022-01-10,Belgium,BE,"First aid supplies",0.15,1,8,0.2,2,13.8,0.15
2022-01-10,Germany,DE,"First aid supplies",0.15,3,24,0.15,4,28.5,0.03
2022-01-10,Netherlands,NL,"First aid supplies",0.15,1,11,0.22,2,13.95,0.02
2022-01-10,"United Kingdom of Great Britain and Northern Ireland",GB,"Home health care equipment",0.15,1,14,0.15,2,114.4,0.03
2022-01-10,Belgium,BE,"Home health care equipment",0.15,1,4,0.18,1,58.3,0.13
2022-01-10,Germany,DE,"Home health care equipment",0.15,2,12,0.2,2,116.6,0.05
2022-01-10,Netherlands,NL,"Home health care equipment",0.15,1,10,0.25,3,151.8,0.04
2022-01-11,"United Kingdom of Great Britain and Northern Ireland",GB,"Hair Loss",0.15,1,11,0.15,2,255.0,0.05
2022-01-11,Belgium,BE,"Hair Loss",0.15,0,0,0.17,0,0.0,0.11
2022-01-11,Germany,DE,"Hair Loss",0.15,1,11,0.25,3,345.0,0.04
2022-01-11,Netherlands,NL,"Hair Loss",0.15,1,8,0.25,2,240.0,0.04
2022-01-11,"United Kingdom of Great Britain and Northern Ireland",GB,"Skin Care",0.15,1,11,0.23,3,204.75,0.03
2022-01-11,Belgium,BE,"Skin Care",0.15,0,0,0.21,0,0.0,0.13
2022-01-11,Germany,DE,"Skin Care",0.15,1,11,0.2,2,156.0,0.05
2022-01-11,Netherlands,NL,"Skin Care",0.15,0,9,0.15,1,81.75,0.04
2022-01-11,"United Kingdom of Great Britain and Northern Ireland",GB,"Weight Loss",0.15,4,39,0.25,10,2650.0,0.04
2022-01-11,Belgium,BE,"Weight Loss",0.15,1,10,0.21,2,475.0,0.15
2022-01-11,Germany,DE,"Weight Loss",0.15,2,42,0.15,6,1650.0,0.03
2022-01-11,Netherlands,NL,"Weight Loss",0.15,2,22,0.21,5,1175.0,0.02
2022-01-11,"United Kingdom of Great Britain and Northern Ireland",GB,"Vitamins and supplements",0.15,2,15,0.2,3,49.05,0.03
2022-01-11,Belgium,BE,"Vitamins and supplements",0.15,0,1,0.18,0,0.0,0.13
2022-01-11,Germany,DE,"Vitamins and supplements",0.15,2,20,0.22,4,63.6,0.05
2022-01-11,Netherlands,NL,"Vitamins and supplements",0.15,1,11,0.18,2,31.5,0.02
2022-01-11,"United Kingdom of Great Britain and Northern Ireland",GB,"First aid supplies",0.15,2,26,0.24,6,46.35,0.05
2022-01-11,Belgium,BE,"First aid supplies",0.15,1,9,0.15,1,7.275,0.14
2022-01-11,Germany,DE,"First aid supplies",0.15,3,27,0.25,7,48.3,0.04
2022-01-11,Netherlands,NL,"First aid supplies",0.15,1,12,0.15,2,14.55,0.03
2022-01-11,"United Kingdom of Great Britain and Northern Ireland",GB,"Home health care equipment",0.15,2,16,0.23,4,224.4,0.03
2022-01-11,Belgium,BE,"Home health care equipment",0.15,0,4,0.2,1,50.05,0.11
2022-01-11,Germany,DE,"Home health care equipment",0.15,1,13,0.24,3,161.7,0.03
2022-01-11,Netherlands,NL,"Home health care equipment",0.15,1,11,0.2,2,102.3,0.02
2022-01-12,"United Kingdom of Great Britain and Northern Ireland",GB,"Hair Loss",0.15,1,12,0.2,2,227.5,0.05
2022-01-12,Belgium,BE,"Hair Loss",0.15,0,0,0.2,0,0.0,0.12
2022-01-12,Germany,DE,"Hair Loss",0.15,1,12,0.21,3,408.75,0.04
2022-01-12,Netherlands,NL,"Hair Loss",0.15,1,9,0.23,2,235.0,0.04
2022-01-12,"United Kingdom of Great Britain and Northern Ireland",GB,"Skin Care",0.15,1,12,0.19,2,157.5,0.04
2022-01-12,Belgium,BE,"Skin Care",0.15,0,0,0.22,0,0.0,0.13
2022-01-12,Germany,DE,"Skin Care",0.15,1,12,0.25,3,218.25,0.05
2022-01-12,Netherlands,NL,"Skin Care",0.15,0,9,0.15,1,79.5,0.03
2022-01-12,"United Kingdom of Great Britain and Northern Ireland",GB,"Weight Loss",0.15,5,44,0.22,10,2250.0,0.04
2022-01-12,Belgium,BE,"Weight Loss",0.15,1,11,0.21,2,455.0,0.15
2022-01-12,Germany,DE,"Weight Loss",0.15,5,47,0.2,9,2385.0,0.05
2022-01-12,Netherlands,NL,"Weight Loss",0.15,2,24,0.25,6,1380.0,0.04
2022-01-12,"United Kingdom of Great Britain and Northern Ireland",GB,"Vitamins and supplements",0.15,2,17,0.2,3,44.55,0.05
2022-01-12,Belgium,BE,"Vitamins and supplements",0.15,1,2,0.15,0,0.0,0.12
